"team","country","overall_points_team","overall_points_country","percentage","flag","text","stadium","latitude","longitude"
"1.FC Köln","Germany",75.2,75.2142857142857,0,":de:","Germany: 75.214 points","RheinEnergie Stadion",50.933611,6.875
"1.FC Slovácko","Czech Republic",27.8,27.8,0,":cz:","Czech Republic: 27.8 points","Mestský fotbalový stadion Miroslava Valenty",49.065556,17.471461
"1899 Hoffenheim","Germany",75.2,75.2142857142857,0,":de:","Germany: 75.214 points","Prezero-Arena",49.239,8.888278
"AA Gent","Belgium",30.6,30.6,0.2,":be:","Belgium: 30.6 points","Jules Ottenstadion",51.031389,3.766111
"Aberdeen","Scotland",36.9,36.9,0.1,":gb-sct:","Scotland: 36.9 points","Pittodrie Stadium",57.159166666,-2.088888888
"AC Milan","Italy",76.9,76.9047619047619,0.1,":it:","Italy: 76.905 points","Stadio Giuseppe Meazza",45.478055,9.123947
"Admira Wacker","Austria",38.9,38.85,0,":at:","Austria: 38.85 points","BSFZ-Arena",48.0976,16.3109
"AEK Athens","Greece",28.2,28.2,0.2,":gr:","Greece: 28.2 points","Olympic Stadium of Athens",38.036111111,23.7875
"AEK Larnaca","Cyprus",27.4,27.375,0.2,":cy:","Cyprus: 27.375 points","AEK Arena - Georgios Karapatakis",34.9263,33.597747222
"AEL Limassol","Cyprus",27.4,27.375,0.1,":cy:","Cyprus: 27.375 points","Tsirio Stadium",34.700914,33.022975
"AGF Aarhus","Denmark",27.2,27.175,0,":dk:","Denmark: 27.175 points","Vejlby/Risskov Centret",56.1909,10.2093
"AIK Stockholm","Sweden",22.9,22.875,0.1,":se:","Sweden: 22.875 points","Friends Arena",59.3725,18
"Ajax","Netherlands",49.3,49.3,0.4,":nl:","Netherlands: 49.3 points","Johan Cruyff Arena",52.314166666,4.941944444
"Akademija Pandev","North Macedonia",7,7,0,":mk:","North Macedonia: 7 points","Stadion Mladost",41.4462,22.637708
"Akhisarspor","Turkey",27.1,27.1,0,":tr:","Turkey: 27.1 points","Akhisar Stadium",38.9209,27.8118
"Alanyaspor","Turkey",27.1,27.1,0,":tr:","Turkey: 27.1 points","Alanya Oba Stadium",36.5626,32.0791
"Alashkert FC","Armenia",8.1,8.125,0.4,":am:","Armenia: 8.125 points","Alashkert Stadium",40.154605,44.475231
"Anderlecht","Belgium",30.6,30.6,0.1,":be:","Belgium: 30.6 points","Lotto Park",50.834167,4.298333
"Anorthosis Famagusta","Cyprus",27.4,27.375,0.1,":cy:","Cyprus: 27.375 points","Antonis Papadopoulos Stadium",34.937422,33.620922
"APOEL Nicosia","Cyprus",27.4,27.375,0.3,":cy:","Cyprus: 27.375 points","GSP Stadium",35.114542,33.362864
"Apollon Limassol","Cyprus",27.4,27.375,0.2,":cy:","Cyprus: 27.375 points","Tsirio Stadium",34.700914,33.022975
"Ararat-Armenia","Armenia",8.1,8.125,0.3,":am:","Armenia: 8.125 points","Republican Stadium",40.171944,44.525833
"Ararat Yerevan","Armenia",8.1,8.125,0.1,":am:","Armenia: 8.125 points","Republican Stadium",40.171944,44.525833
"Arda Kardzhali","Bulgaria",19.5,19.5,0,":bg:","Bulgaria: 19.5 points",,,
"Aris Thessaloniki","Greece",28.2,28.2,0,":gr:","Greece: 28.2 points","Kleanthis Vikelidis Stadium",40.600069,22.9695
"Arka Gdynia","Poland",15.9,15.875,0,":pl:","Poland: 15.875 points","Stadion GOSiR",54.493136,18.531214
"Arsenal","England",106.6,106.642857142857,0.1,":gb-eng:","England: 106.643 points","Emirates Stadium",51.554867,-0.109112
"Arsenal Tula","Russia",34.5,34.4833333333333,0,":ru:","Russia: 34.483 points","Arsenal Stadium",54.174167,37.603056
"AS Monaco","France",60.1,60.0833333333333,0.1,":fr:","France: 60.083 points","Stade Louis II",43.727778,7.415556
"AS Roma","Italy",76.9,76.9047619047619,0.2,":it:","Italy: 76.905 points","Stadio Olimpico",41.933872,12.454714
"AS Saint-Étienne","France",60.1,60.0833333333333,0,":fr:","France: 60.083 points","Stade Geoffroy-Guichard",45.460833,4.39
"AS Trencín","Slovakia",15.6,15.625,0.1,":sk:","Slovakia: 15.625 points","Štadión na Sihoti",48.89861111,18.04472222
